,shopname,description,web,adress,district,neighbourhood,location,type,timetable,photo,product_list,phone
1568,Bon Granel,"Tenim una botiga d'alimentació a granel, des de llegums, arrossos, fruits secs, cereals, café, te, vinagres, mel... tan convencionals com ecològics, i cada vegada tenim més productes de proximitat.<br />
<br />
La nostra botiga està pensada per poder fer una compra sostenible i sense generar cap tipus de residus. La nostra filosofía és no generar més residus d'un sol ús fomentant la reutilització d'envasos fent un descompte als clients que portin els seus propis de casa. Sinó, poden fer la seva compra utilitzant bosses reciclades i biodegradables que tenim a la botiga.",www.bongranel.es,"Carrer de Sants, 143",Sants - Montjuïc,Sants,"('41,37529090', '2,13323080')",others,,,,
1569,Manantial Drogueria,"Manantial és una drogueria a granel ubicada al barri d'Eixample a Barcelona. Amb aquesta botiga volem contribuir al benestar de les cases, enfortir l'economia local i participar en la cura del medi ambient promovent una forma de consum responsable.<br />
<br />
Participem en la reducció de l'ús de plàstic amb una oferta àmplia de productes a granel distribuïts en envasos reutilitzables: pols per a la neteja, detergent, gel de dutxa, xampús, olis cosmètics… També oferim alternatives als productes d'ús únic i/o fets de plàstic. Aquests productes inclouen articles per a nens, mascotes, papereria, jardineria, cuina, higiene menstrual, lavabo de la llar i higiene personal.<br />
 ",http://manantial.cat/,"Carrer d'Aribau, 138",Eixample,L'Antiga Esquerra de l'Eixample,"('41,39150580', '2,15548050')",others,,,,
1570,Salsifí,"Fruiteria i Verduleria d'alimentació ecològica i de proximitat. Seleccionem en primer terme productes de conrreus catalans i en segon terme productes vinguts de la península. Tot i que fem una excepción amb el plàtan de Canàries, a Salsifí no trobaràs aliments frescs de països llunyans per què no té sentit.<br />
<br />
<br />
 ",https://salsifi.cat/,"Carrer de Fluvià, 123",Sant Martí,Provençals del Poblenou,"('41,40953560', '2,20341490')",alimentation,,,,
1573,Les tisores del Poble9,"Perruqueria que treballa amb la marca OWAY, que tenen certificaicó biodinàmica i tot els productes són naturals i sense químics. A més, els productes a la venda es poden comprar en envasos de vidre retornables.",,"Carrer de l'Amistat, 9-11 ",Sant Martí,El Poblenou,"('41,40001840', '2,20541100')",restaurant,,,,
1574,Vernita,"Vernita és un estudi de disseny i taller de costura creativa.<br />
A la botiga es pot trobar roba per nens i nadons i regals diferents, que segueixen criteris de sostenibilitat. Per exemple, la roba és de proximitat i de fabricació responsable (roba de bambú, de cotó orgànic o reciclada), i també hi ha altres elements que incentiven la reutilització com cantimplores, carmanyoles, motxilles fetes amb material reciclat, entre d'altres.<br />
A més, també es poden trobar productes decoratius fets a mà com garlandes i coixins, i peces tèxtils per als nadons, nens i adults; tot tipus de bosses, foulards, mantes, colls, pitets, tovalloles y fundas.<br />
I per completar, fan tallers de costura a mida per nens i grans que donen vida a excedents tèxtils.<br />
 ",,"Carrer de Joncar, 27",Sant Martí,El Poblenou,"('41,40109223', '2,20416228')",supermarket,,,,
1575,Limonada de lavanda,"A Limonada de lavanda aposten pels productes de cosmètica sostenibles i naturals, amb el propòsit de vendre productes respectuosos amb el medi ambient, i amb productes de cosmètica sòlida com sabons, renta plats o detergents per la roba.<br />
A més, també fan tallers de sabons naturals i espelmes sense parafines i tenen tots els ingredients a granel perquè després es pugui fer a casa.",https://limonadadelavanda.com/,"Carrer Marià Aguiló, 60",Sant Martí,El Poblenou,"('41,40206599', '2,20180193')",vegan food,,,,
1576,YES FUTURE El Poblenou,"Nou model de supermercat que només ofereix productes a granel. Els clients que ho desitgin poden acudir amb els seus propis envasos reutiltzables i omplir-los sense generar residus. Si és necessari també disposen de bosses de paper, cartó o altres alternatives amb certificació ecològica.<br />
Hi ha al voltant de 300 referències de productes alimentaris i detergents a granel respectuosos amb l'ambient i biodegradables. Tenen ampolles de HDPE, que és l'únic plàstic de la botiga i exclusivament per productes de neteja. És un tipus de plàstic que no després toxines, és molt resistent i reutilitzable, a més de reciclable.<br />
També hi ha utensilis de neteja fets amb materials naturals, biodegradables i compostables.",http://www.yesfuture.store/,"Carrer de Pujades, 197",Sant Martí,El Poblenou,"('41,40295122', '2,20223109')",restaurant,,,,
1577,Teixidor taula i cuina,"<br />
En aquest comerç podem trobar diferents productes que ens permetran reduir els nostres residus diaris, com per exemple carmanyoles, tapes de silicona, silicona per congelar, portaentrepans, fundes d'entrepans grans, bosses de roba per anar a comprar, el naturpod (per allargar la vida de les fruites i verdures de la nevera), brita, filtres de carbó actiu, paelles fetes amb material reciclat, o cantimplores, entre d'altres.",https://www.angelteixido.com/,"Carrer Pallars, 224",Sant Martí,El Poblenou,"('41,40262570', '2,19991290')",others,,,,
1578,Cruixent,"En aquest forn amb obrador propi s'elaboren tot tipus de pans artesanalment a partir de massa mare elaborada amb diferents tipus de llavors i fermentacions. A més, totes les farines integrals i de llavors especials tenen certificacions ecològiques.<br />
 ",https://josep028.wixsite.com/cruixent,"C/ Pujades, 173",Sant Martí,El Poblenou,"('41,40188090', '2,20072905')",restaurant,,,,
1579,Forn Santanach,"<br />
En aquest forn de pa utilitzen farines de proximitat sense químics i procuren respectar el mètode tradicional per fer el pa. A la mateixa botiga tenen un obrador propi on elaboren tots els productes.<br />
Per tal d'ajudar a la seva clientela a reduir els seus residus, cada any donen bosses de roba del pa per fomentar alternatives als materials d'un sol ús. Col·laboren amb una associació de dones en risc d'exclusió social, que els hi fan aquestes bosses.",,"Rambla del Poblenou, 98",Sant Martí,El Poblenou,"('41,40219475', '2,19993512')",supermarket,,,,
1580,La cervecita nuestra de cada día,Aquesta cerveseria ven 8 tipus diferents de cervesa artesana a granel. Tenen envasos reutilitzables a la venta i també accepten envasos que portis de casa.,,"Carrer de Llull, 184",Sant Martí,El Poblenou,"('41,40035650', '2,20158850')",supermarket,,,,
